    id    |                                                     units                                                      
 10019383 | ["", "ounces", "packages"]
 10019868 | ["ounces", "packets"]
 10019903 | ["", "bags", "ounces", "packages", "servings", "squares"]
 10019904 | ["", "bags", "ounces", "packages", "servings"]
 10019908 | ["", "ounces", "servings"]
 10020005 | ["ounces"]
 10020006 | ["ounces"]
 1002001  | ["", "ounces"]
 1002002  | ["ounces", "servings"]
 10020028 | ["ounces"]
 10020029 | ["ounces"]
 10020036 | ["ounces"]
 1002004  | [""]
 10020040 | ["ounces"]
 10020041 | ["ounces"]
 10020048 | ["ounces"]
 10020052 | ["ounces"]
 10020053 | ["ounces"]
 10020054 | ["", "ounces"]
 1002006  | ["", "ounces"]
 10020061 | ["ounces"]
 10020066 | ["ounces"]
 10020080 | ["", "ounces"]
 10020081 | ["", "ounces"]
 10020088 | ["", "ounces", "servings", "slices"]
 1002009  | ["ounces", "servings"]
 1002010  | ["", "inches", "ounces", "slices", "sticks"]
 1002011  | ["cloves", "cubes", "ounces"]
 10020124 | ["ounces", "servings"]
 10020125 | ["ounces"]
 10020129 | ["ounces"]
 1002014  | ["", "ounces", "servings"]
 1002020  | ["ounces"]
 1002024  | ["ounces"]
 1002026  | ["ounces"]
 1002028  | ["ounces", "servings"]
 1002030  | ["", "cans", "ounces", "servings", "slices"]
 1002031  | ["", "ounces"]
 1002032  | ["", "ounces"]
 1002034  | ["ounces"]
 1002035  | ["", "bags", "boxes", "ounces", "servings"]
 1002038  | ["ounces"]
 10020409 | ["", "ounces"]
 10020410 | ["bags", "ounces"]
 1002042  | ["ounces"]
 10020420 | ["boxes", "ounces"]
 10020421 | ["ounces"]
 1002044  | ["bunches", "containers", "ounces", "servings", "slices"]
 10020444 | ["bags", "ounces", "servings"]
 10020445 | ["ounces", "servings"]
 1002046  | ["", "ounces", "servings"]
 1002047  | ["ounces"]
 1002048  | ["ounces"]
 10020499 | ["ounces", "servings"]
 1002050  | ["drops", "ounces"]
 1002053  | ["ounces"]
 1002054  | ["ounces", "servings"]
 1002055  | ["inches", "ounces", "servings"]
 1002068  | ["", "jars", "ounces", "servings"]
 1002069  | ["ounces", "servings"]
 10021052 | ["bags", "ounces", "servings"]
 10023003 | [""]
 10023562 | ["ounces"]
 10023567 | ["ounces"]
 10023572 | ["", "ounces", "servings"]
 10023583 | ["", "inches", "ounces"]
 10028033 | ["", "loaf", "ounces", "servings", "slices"]
 10031015 | ["", "ounces"]
 10035021 | [""]
 10035137 | ["ounces", "servings", "sticks"]
 10036    | ["", "inches", "ounces"]
 1004     | ["ounces", "servings"]
 10040    | ["", "ounces"]
 1004053  | ["ounces", "servings"]
 1004058  | ["ounces"]
 1004073  | ["ounces"]
 10042040 | ["ounces", "servings"]
 10043028 | ["ounces", "servings"]
 10043155 | ["bottle", "ounces", "servings"]
 10044    | ["ounces"]
 1004679  | ["ounces"]
 1005006  | ["", "ounces", "sticks"]
 1005057  | ["", "ounces"]
 1005091  | ["", "ounces"]
 1005096  | ["", "ounces"]
 1005100  | ["ounces", "packages"]
 1005696  | ["", "ounces"]
 1006     | ["", "inches", "ounces", "servings", "slices"]
 10060    | ["", "ounces"]
 1006008  | ["ounces"]
 1006075  | ["ounces"]
 1006076  | ["ounces"]
 1006080  | ["ounces"]
 1006164  | ["ounces", "servings"]
 1006168  | ["ounces", "servings"]
 1006172  | ["ounces"]
 10062    | ["", "ounces", "servings"]
 1006615  | ["glasses", "ounces", "servings"]
 1006963  | ["ounces"]
 1006970  | ["ounces"]
 1006972  | ["ounces", "servings"]
 1006973  | ["ounces"]
 1006988  | ["ounces"]
 1007     | ["ounces"]
 1007019  | ["servings"]
 1007036  | ["ounces"]
 1007063  | ["", "ounces"]
 1007071  | ["ounces"]
 10072    | ["", "ounces"]
 10073    | ["ounces"]
 1008020  | ["ounces"]
 1008029  | ["", "ounces"]
 1008082  | ["", "ounces"]
 1008166  | ["boxes", "ounces", "tube"]
 10083    | ["ounces"]
 10084    | ["", "ounces"]
 10088    | ["ounces"]
 1009     | ["", "bags", "cans", "ounces", "servings", "slices"]
 1009003  | ["", "ounces", "servings"]
 1009016  | ["bottle", "ounces", "servings"]
 1009037  | ["", "links", "ounces", "servings", "slices"]
 1009050  | ["ounces"]
 1009054  | ["", "ounces", "servings", "strips"]
 1009112  | [""]
 1009132  | ["ounces"]
 1009150  | ["", "inches", "ounces", "servings"]
 1009156  | ["", "ounces"]
 1009159  | ["", "of", "ounces", "servings", "strips"]
 1009176  | ["ounces"]
 1009181  | ["ounces"]
 1009195  | ["", "ounces", "servings"]
 1009200  | ["", "ounces", "slices"]
 1009206  | ["", "ounces", "servings"]
 1009216  | ["", "ounces"]
 1009218  | ["ounces"]
 1009221  | ["ounces"]
 1009252  | ["", "ounces"]
 1009286  | ["", "ounces"]
 1009316  | ["ounces"]
 1009322  | ["ounces"]
 1009354  | ["", "cans", "ounces", "servings"]
 10093605 | ["ounces"]
 10093620 | ["ounces"]
 10093624 | ["cans", "servings"]
 10093645 | ["ounces", "servings"]
 10093648 | ["ounces"]
 10093657 | ["ounces"]
 10093663 | ["ounces"]
 10093691 | ["ounces"]
 10093695 | ["ounces"]
 10093703 | ["ounces"]
 10093715 | ["ounces"]
 10093726 | ["ounces"]
 10093727 | ["bags", "ounces", "packages"]
 10093730 | ["", "servings"]
 10093741 | ["ounces"]
 10093754 | ["ounces"]
 10093785 | ["ounces"]
 10093803 | ["servings"]
 10098844 | ["ounces"]
 10098872 | ["ounces"]
 10098875 | ["ounces"]
 10098966 | ["ounces"]
 10099002 | ["ounces"]
 10099050 | ["slices"]
 1011     | ["", "ounces", "slices", "sticks"]
 10110    | ["ounces"]
 1011001  | ["cans", "ounces", "servings"]
 1011004  | ["ounces", "servings"]
 1011009  | ["ounces", "servings", "slices"]
 10110123 | ["ounces"]
 1011019  | ["ounces"]
 10110204 | ["ounces"]
 10110219 | ["", "bags", "ball", "glasses", "ounces", "packages"]
 1011026  | ["ounces", "servings"]
 1011033  | ["", "ounces", "servings"]
 1011053  | ["ounces", "servings"]
 10111001 | ["ounces", "servings"]
 10111080 | ["ounces", "servings"]
 10111111 | ["", "ounces"]
 10111135 | ["ounces"]
 10111205 | ["", "ounces", "servings", "slices"]
 10111215 | ["ounces"]
 10111216 | ["servings"]
 10111251 | ["", "bunches", "head", "leaves", "ounces", "servings", "slices", "stalks"]
 10111282 | ["", "ounces"]
 10111333 | ["", "ounces", "servings"]
 10111352 | ["ounces"]
 10111362 | ["", "ounces"]
 10111485 | ["", "ounces"]
 10111529 | ["", "ounces", "servings"]
 10111549 | ["", "jars", "ounces", "servings"]
 10111583 | ["ounces"]
 10111641 | ["", "head"]
 10111819 | ["", "ounces"]
 10111962 | ["", "ounces"]
 10111990 | ["ounces"]
 10112220 | ["", "ounces"]
 10114037 | ["", "ounces", "servings"]
 10114057 | ["", "ounces"]
 10114106 | ["ounces"]
 10114412 | ["ounces", "servings"]
 10114534 | ["ounces"]
 10115004 | ["ounces"]
 10115028 | ["ounces"]
 10115136 | ["ounces"]
 10115147 | ["ounces", "servings"]
 10115149 | ["", "ounces"]
 10115261 | ["", "ounces", "servings"]
 10116034 | ["cans", "ounces"]
 10116072 | ["ounces"]
 10116098 | ["", "ounces", "servings"]
 10116112 | ["ounces"]
 10116124 | ["ounces", "servings"]
 10118029 | ["", "loaf", "ounces", "servings", "slices"]
 10118157 | ["", "ounces", "packages", "servings"]
 10118192 | ["", "bags", "inches", "ounces", "packages", "servings", "sheets"]
 10118364 | ["", "12-inch", "ounces", "servings"]
 10118368 | ["", "2-inch", "ounces", "packages", "servings", "sheets"]
 10118371 | ["", "ounces", "servings"]
 10118375 | ["", "envelopes", "ounces", "packages", "packets"]
 10118617 | [""]
 10119047 | ["", "ounces", "sticks"]
 10119116 | ["", "ounces"]
 10119172 | ["ounces"]
 10119297 | ["ounces"]
 10119334 | ["ounces"]
 10119868 | ["servings"]
 10119903 | ["servings"]
 1012     | ["ounces", "servings"]
 1012001  | ["ounces"]
 1012002  | ["", "ounces", "servings"]
 10120052 | ["ounces", "servings"]
 10120054 | ["", "servings"]
 1012006  | [""]
 1012009  | ["", "ounces"]
 10120124 | ["", "ounces", "servings"]
 10120125 | ["ounces"]
 10120129 | ["ounces"]
 1012020  | ["ounces"]
 1012023  | ["", "ounces", "servings"]
 1012024  | ["ounces", "servings", "sprigs"]
 1012028  | ["ounces", "servings"]
 1012030  | ["ounces", "servings"]
 1012034  | ["ounces", "servings"]
 1012035  | ["ounces"]
 10120409 | ["", "ounces"]
 10120410 | ["ounces"]
 1012042  | ["ounces", "servings"]
 10120420 | ["ounces", "packages"]
 10120421 | ["ounces"]
 10120444 | ["bags", "ounces", "servings"]
 10120445 | ["ounces", "servings"]
 1012046  | ["ounces", "servings"]
 1012047  | ["", "inches", "ounces", "servings"]
 10120499 | ["ounces"]
 1012050  | ["drops", "ounces"]
 1012053  | ["ounces"]
 1012068  | ["ounces", "servings"]
 1012069  | ["ounces", "servings"]
 10123    | ["", "ounces", "packages", "servings", "slices", "stalks", "strips"]
 10130    | ["", "ounces", "packages", "slices", "strips"]
 1014     | ["ounces"]
 1014053  | ["ounces", "servings"]
 10149    | ["", "ounces"]
 1015006  | ["", "ounces"]
 1015057  | ["ounces"]
 1015062  | ["", "ounces", "packages", "servings"]
 10151    | ["", "ounces", "servings", "slices"]
 1016     | ["ounces"]
 1016075  | ["ounces"]
 1016076  | ["ounces", "servings"]
 1016080  | ["ounces"]
 1016168  | ["", "drops", "ounces", "servings"]
 1016194  | ["", "ounces"]
 10165    | ["ounces"]
 1016970  | ["cans", "ounces"]
 1016973  | ["ounces", "servings"]
 1017     | ["", "ounces", "packages", "servings", "sticks"]
 1017063  | ["", "chunks", "links", "ounces", "packages", "servings"]
 1019     | ["", "ounces", "packages", "servings"]
 1019003  | [""]
 1019016  | ["", "ounces", "servings"]
 1019176  | [""]
 1019195  | ["", "ounces"]
 1019200  | ["", "ounces"]
 1019218  | ["", "slices"]
 1019322  | ["", "ball", "inches", "ounces", "servings"]
 1019354  | [""]
 10193605 | ["ounces"]
 10193691 | ["servings"]
 10193701 | ["packages", "servings"]
 1020     | ["ounces", "slices"]
 10204    | ["", "ounces", "ribs", "slabs"]
 1021004  | ["ounces", "servings"]
 1021009  | ["", "ounces", "packages", "servings", "slices"]
 10210123 | ["ounces", "strips"]
 10211111 | ["ounces", "servings"]
 10211205 | [""]
 10211282 | ["", "ounces"]
 10211362 | ["", "ounces", "servings"]
 10211529 | ["", "ounces", "servings"]
 10211819 | ["", "ounces"]
 10211821 | ["", "chunks", "ounces", "servings"]
 10211937 | ["", "jars", "ounces", "servings"]
 10211962 | ["", "ounces", "servings"]
 10214037 | ["ounces"]
 10214106 | ["", "ounces"]
 10216034 | ["ounces"]
 10216070 | ["ounces"]
 10216112 | ["ounces"]
 10216124 | ["ounces", "servings"]
 10218    | ["", "ounces"]
 10218364 | ["", "10-inch", "12-inch", "5-inch", "6-inch", "7-inch", "8-inch", "9-inch", "packages", "servings"]
 10218375 | ["ounces"]
 10218617 | [""]
 10219    | ["", "ounces"]
 10219047 | ["", "ounces"]
 10219172 | ["boxes", "ounces"]
 10219297 | ["ounces"]
 10219903 | ["ounces", "servings"]
 1022     | ["ounces", "slices"]
 10220054 | ["ounces"]
 10220055 | ["servings"]
 1022006  | ["", "ounces"]
 1022009  | ["ounces"]
 10220124 | ["ounces"]
 1022020  | ["", "cloves", "ounces", "servings"]
 1022024  | ["", "ounces", "sprigs"]
 1022027  | ["", "cubes", "ounces", "servings", "slices"]
 1022028  | ["envelopes", "ounces", "packets", "servings"]
 1022030  | ["", "ounces", "servings"]
 1022034  | ["ounces", "servings"]
 1022035  | ["ounces"]
 10220409 | ["ounces", "servings"]
 1022042  | ["ounces", "servings"]
 10220421 | [""]
 10220444 | ["ounces", "servings"]
 10220445 | ["ounces", "servings"]
 1022047  | ["ounces", "servings"]
 10220499 | ["ounces"]
 1022050  | ["", "ounces"]
 1022053  | ["ounces", "servings"]
 1022068  | ["ounces", "servings"]
 10225    | ["", "ounces", "ribs", "servings"]
 1023     | ["", "ounces", "slices"]
 1024053  | ["ounces", "servings"]
 10242040 | ["", "glasses", "ounces"]
 1025     | ["ounces", "servings", "slices"]
 1025006  | ["", "head", "ounces", "packages", "packets", "servings", "slices"]
 1025062  | ["", "ounces"]
 1026     | ["", "ball", "cubes", "inches", "ounces", "slices"]
 1026076  | ["", "ounces"]
 1028     | ["inches", "ounces", "slices", "sticks"]
 1029     | ["ounces"]
 1029003  | ["", "inches", "ounces", "slices"]
 1029195  | ["", "ounces", "servings"]
 1029354  | ["", "cans", "chunks", "ounces"]
 1030     | ["", "ounces", "slices"]
 1031     | ["ounces"]
 1031009  | ["", "inches", "ounces", "servings", "slices"]
 10310123 | ["", "inches", "ounces", "slices", "strips"]
 10311111 | ["", "leaves"]
 10311282 | ["", "ounces"]
 10311529 | ["", "bunches", "containers", "ounces", "servings"]
 10311643 | ["", "ounces"]
 10311693 | ["ounces"]
 10311819 | ["", "servings"]
 10311821 | ["", "ounces"]
 10314037 | ["", "ounces"]
 10314534 | ["", "ounces"]
 10319172 | ["ounces"]
 10319175 | ["", "ounces"]
 10319297 | ["ounces", "servings"]
 10319335 | ["ounces", "servings"]
 1032009  | ["", "ounces", "servings", "slices", "sprigs"]
 10320124 | ["ounces"]
 1032027  | ["", "ounces", "packages", "packets", "servings"]
 1032028  | ["ounces"]
 1032034  | ["ounces"]
 1032035  | ["ounces"]
 10320409 | ["ounces"]
 1032047  | ["ounces"]
 10320499 | ["ounces"]
 1032053  | ["ounces"]
 1033     | ["", "inches", "ounces", "servings", "slices", "squares"]
 1034053  | ["", "inches", "ounces", "servings"]
 1035     | ["ounces", "servings", "slices"]
 1036     | ["", "containers", "ounces", "servings", "tub"]
 1037     | ["ounces"]
 1038     | ["", "ounces", "servings"]
 1039     | ["ounces"]
 1039003  | ["", "ounces"]
 1039195  | ["", "ounces", "servings"]
 1039354  | ["cans", "ounces"]
 10398875 | ["ounces"]
 1040     | ["", "ounces", "servings", "slices"]
 1041009  | ["", "ounces", "servings", "slices"]
 10410123 | ["", "ounces", "servings", "slices"]
 10411111 | ["", "drops", "ounces"]
 10411529 | ["", "ounces", "servings"]
 10414037 | ["ounces"]
 10414534 | ["ounces"]
 10417158 | ["ounces"]
 10419172 | ["ounces"]
 10419297 | ["ounces"]
 10419335 | ["", "cubes"]
 10419903 | ["", "bags", "ounces", "packages"]
 1042009  | ["ounces"]
 1042035  | ["ounces", "slices"]
 1042047  | ["", "ounces", "servings"]
 1042053  | ["ounces"]
